Date,Open,High,Low,Close,Adj Close,Volume
2015-08-07,0.220000,0.220000,0.220000,0.220000,0.220000,0
2015-08-10,0.242000,0.242000,0.231000,0.231000,0.231000,400
2015-08-11,0.229000,0.229000,0.229000,0.229000,0.229000,2500
2015-08-12,0.238000,0.238000,0.238000,0.238000,0.238000,5000
2015-08-13,0.239000,0.239000,0.239000,0.239000,0.239000,2600
2015-08-14,0.234000,0.234000,0.234000,0.234000,0.234000,200
2015-08-17,0.234000,0.234000,0.234000,0.234000,0.234000,0
2015-08-18,0.234000,0.234000,0.234000,0.234000,0.234000,0
2015-08-19,0.234000,0.234000,0.234000,0.234000,0.234000,0
2015-08-20,0.234000,0.234000,0.234000,0.234000,0.234000,0
2015-08-21,0.230000,0.230000,0.230000,0.230000,0.230000,1000
2015-08-24,0.217000,0.218000,0.200000,0.200000,0.200000,34500
2015-08-25,0.200000,0.200000,0.200000,0.200000,0.200000,0
2015-08-26,0.200000,0.200000,0.200000,0.200000,0.200000,0
2015-08-27,0.224000,0.224000,0.224000,0.224000,0.224000,200
2015-08-28,0.216000,0.216000,0.216000,0.216000,0.216000,1700
2015-08-31,0.216000,0.216000,0.216000,0.216000,0.216000,0
2015-09-01,0.222000,0.222000,0.222000,0.222000,0.222000,4500
2015-09-02,0.222000,0.222000,0.222000,0.222000,0.222000,0
2015-09-03,0.222000,0.222000,0.222000,0.222000,0.222000,0
2015-09-04,0.200000,0.200000,0.200000,0.200000,0.200000,34000
2015-09-08,0.200000,0.200000,0.200000,0.200000,0.200000,0
2015-09-09,0.229000,0.263000,0.229000,0.263000,0.263000,2300
2015-09-10,0.256000,0.256000,0.256000,0.256000,0.256000,500
2015-09-11,0.256000,0.256000,0.256000,0.256000,0.256000,0
2015-09-14,0.256000,0.256000,0.256000,0.256000,0.256000,0
2015-09-15,0.256000,0.256000,0.256000,0.256000,0.256000,0
2015-09-16,0.256000,0.256000,0.256000,0.256000,0.256000,0
2015-09-17,0.256000,0.256000,0.256000,0.256000,0.256000,0
2015-09-18,0.248000,0.248000,0.248000,0.248000,0.248000,200
2015-09-21,0.243000,0.262000,0.243000,0.262000,0.262000,10000
